Div Name,School Name,Sch Type,"LowGrade","HighGrade",Subject,PassRate
AMHERST CO PBLC SCHS,AMHERST CO PBLC SCHSHIGH,High,9,12,English: Reading,85
AMHERST CO PBLC SCHS,AMHERST CO PBLC SCHSHIGH,High,9,12,English: Writing,81
AMHERST CO PBLC SCHS,AMHERST CO PBLC SCHSHIGH,High,9,12,History & Social Sciences,80
AMHERST CO PBLC SCHS,AMHERST CO PBLC SCHSHIGH,High,9,12,Mathematics,70
AMHERST CO PBLC SCHS,AMHERST CO PBLC SCHSHIGH,High,9,12,Science,83
AMHERST CO PBLC SCHS,AMHERST ELEM,Elem,PK,5,English: Reading,84
AMHERST CO PBLC SCHS,AMHERST ELEM,Elem,PK,5,History & Social Sciences,88
AMHERST CO PBLC SCHS,AMHERST ELEM,Elem,PK,5,Mathematics,71
AMHERST CO PBLC SCHS,AMHERST ELEM,Elem,PK,5,Science,91
AMHERST CO PBLC SCHS,AMHERST MIDDLE,Middle,6,8,English: Reading,82
AMHERST CO PBLC SCHS,AMHERST MIDDLE,Middle,6,8,English: Writing,71
AMHERST CO PBLC SCHS,AMHERST MIDDLE,Middle,6,8,History & Social Sciences,88
AMHERST CO PBLC SCHS,AMHERST MIDDLE,Middle,6,8,Mathematics,82
AMHERST CO PBLC SCHS,AMHERST MIDDLE,Middle,6,8,Science,79
AMHERST CO PBLC SCHS,CENTRAL ELEM,Elem,PK,5,English: Reading,77
AMHERST CO PBLC SCHS,CENTRAL ELEM,Elem,PK,5,History & Social Sciences,89
